h2a_entity_name,h2a_dba_or_agent,h2a_location_type,h2a_address,h2a_lat,h2a_lon,district_office,state,workers_certified,crop_activity,employment_period,laundromat_name,laundromat_address,laundromat_lat,laundromat_lon,distance_km,laundromat_hours,laundromat_phone,source_url,confidence,location_id,h2a_case_numbers,h2a_source_url,sensitive_housing,dedupe_note,geocode_source,geocode_status,h2a_county,laundromat_id,laundromat_source,laundromat_confidence,laundromat_state_query,osm_tags,radius_km,match_rank,match_status
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.060786158527286, -86.21847062619942, MI",42.060786158527286,-86.21847062619942,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000006,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,CASS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.05035841479302, -86.19787134095232, MI",42.05035841479302,-86.19787134095232,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000007,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,CASS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.02685096711989, -86.22560544618335, MI",42.02685096711989,-86.22560544618335,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000008,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,BERRIEN COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.08946049999987, -86.19791461312471, MI",42.08946049999987,-86.19791461312471,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000009,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,BERRIEN COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.07025432854481, -86.21254120100156, MI",42.07025432854481,-86.21254120100156,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000010,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,CASS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.055765146963886, -86.19645111197138, MI",42.055765146963886,-86.19645111197138,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000011,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,CASS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.04948458657101, -86.20505243538666, MI",42.04948458657101,-86.20505243538666,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000012,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,CASS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Grabemeyer Farms,POC Dave Grabemeyer,worksite,"42.0578222235599, -86.23936794270821, MI",42.0578222235599,-86.23936794270821,GR,MI,7,H-2A Wage | H-2A foreign workers will be offered a wage of $16.15 per hour. Wage offered is current AEWR. Paid Medical Leave as required by Michigan Law Under Earned Sick Time Act 338. | Apple (All Varieties) | Apple Hand Harvest (All Varieties): 18-bushel boxes $25.00 per-box. Estimated hourly rate: $17.47. Piece rates are minimum and may change during season or hourly rates may be offered. Employer guarantees worker payment not less than state's AEWR hourly rate.,26-Aug-2026 to 16-Oct-2026,,,,,,,,,high,h2a_000013,JO-A-300-26179-057042,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26179-057042,False,,disclosed_decimal_coordinates,matched,BERRIEN COUNTY,,,,,,8.0,,no_laundromat_within_radius
Blits,POC Tricia Scholz,business,"4702 Heritage Drive, North Platte, NE, 69101",41.091554582572,-100.788203831357,DM,NE,10,"Farmworkers, Farm Ranch and Livestock Animals",10-Sep-2026 to 30-Jun-2027,Laundry Zone,"418 East Leota Street, North Platte, NE, 69101",41.1195815,-100.7593168,3.946,,,https://www.openstreetmap.org/node/11973750208,medium,h2a_000014,JO-A-300-26178-056945,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26178-056945,False,,US Census batch geocoder (Exact),Match,,osm_node_11973750208,OpenStreetMap via Overpass API,medium,NE,"{""addr:city"": ""North Platte"", ""addr:housenumber"": ""418"", ""addr:postcode"": ""69101"", ""addr:state"": ""NE"", ""addr:street"": ""East Leota Street"", ""name"": ""Laundry Zone"", ""shop"": ""laundry""}",8.0,1,matched
Blits,POC Tricia Scholz,worksite,"4702 Heritage Drive, North Platte, NE, 69101",41.091554582572,-100.788203831357,DM,NE,10,"Farmworkers, Farm Ranch and Livestock Animals",10-Sep-2026 to 30-Jun-2027,Laundry Zone,"418 East Leota Street, North Platte, NE, 69101",41.1195815,-100.7593168,3.946,,,https://www.openstreetmap.org/node/11973750208,medium,h2a_000015,JO-A-300-26178-056945,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26178-056945,False,,US Census batch geocoder (Exact),Match,LINCOLN COUNTY,osm_node_11973750208,OpenStreetMap via Overpass API,medium,NE,"{""addr:city"": ""North Platte"", ""addr:housenumber"": ""418"", ""addr:postcode"": ""69101"", ""addr:state"": ""NE"", ""addr:street"": ""East Leota Street"", ""name"": ""Laundry Zone"", ""shop"": ""laundry""}",8.0,1,matched
"LFI, LLC",POC Ethan Olson,business,"N5467 6th Avenue, Plainfield, WI, 54966",44.176349872118,-89.502227955276,MN,WI,98,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,29-Aug-2026 to 24-Oct-2026,,,,,,,,,high,h2a_000018,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Exact),Match,,,,,,,8.0,,no_laundromat_within_radius
"LFI, LLC",POC Ethan Olson,worksite,"Wysocki Produce Farm: W3689 4th Street East, Nekoosa, WI, 54457",44.213019389968,-89.955273910709,MN,WI,98,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,29-Aug-2026 to 24-Oct-2026,,,,,,,,,high,h2a_000019,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Non_Exact),Match,JUNEAU COUNTY,,,,,,8.0,,no_laundromat_within_radius
Mortenson Bros,"case employer LFI, LLC; POC Ethan Olson",worksite,"N2818 4th Avenue, Hancock, WI, 54943",44.080027780143,-89.542529187486,MN,WI,12,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,high,h2a_000021,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Exact),Match,WAUSHARA COUNTY,,,,,,8.0,,no_laundromat_within_radius
Mortenson Bros,"case employer LFI, LLC; POC Ethan Olson",worksite,"N5055 2nd Avenue, Plainfield, WI, 54966",,,MN,WI,12,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,low,h2a_000022,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,,No_Match,WAUSHARA COUNTY,,,,,,8.0,,unresolved_h2a_location
Alsum Farms,"case employer LFI, LLC; POC Ethan Olson",worksite,"320 Dover Avenue, Coloma, WI, 54930",,,MN,WI,42,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,low,h2a_000023,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,,No_Match,ADAMS COUNTY,,,,,,8.0,,unresolved_h2a_location
Alsum Farms,"case employer LFI, LLC; POC Ethan Olson",worksite,"2300 County Road G, Westfield, WI, 53964",,,MN,WI,42,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,low,h2a_000024,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,,No_Match,ADAMS COUNTY,,,,,,8.0,,unresolved_h2a_location
Bryan Bula Farms,"case employer LFI, LLC; POC Ethan Olson",worksite,"535 Elk Ave, Grand Marsh, WI, 53936",,,MN,WI,4,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,low,h2a_000025,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,,No_Match,ADAMS COUNTY,,,,,,8.0,,unresolved_h2a_location
Bryan Bula Farms,"case employer LFI, LLC; POC Ethan Olson",worksite,"Town of New Chester - Section 21, T16N-R07E, Grand Marsh, WI, 53936",,,MN,WI,4,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,low,h2a_000026,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,,No_Match,ADAMS COUNTY,,,,,,8.0,,unresolved_h2a_location
Bryan Bula Farms,"case employer LFI, LLC; POC Ethan Olson",worksite,"2618 5th Avenue, Grand Marsh, WI, 53936",43.87436198134,-89.6774367099,MN,WI,4,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,high,h2a_000027,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Exact),Match,ADAMS COUNTY,,,,,,8.0,,no_laundromat_within_radius
Wysocki Produce Farm,"case employer LFI, LLC; POC Ethan Olson",worksite,"W3689 4 th Street East, Nekoosa, WI, 54457",44.213019389968,-89.955273910709,MN,WI,14,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,high,h2a_000028,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Exact),Match,JUNEAU COUNTY,,,,,,8.0,,no_laundromat_within_radius
Wysocki Produce Farm,"case employer LFI, LLC; POC Ethan Olson",worksite,"6441 5th Avenue, Plainfield, WI, 54966",,,MN,WI,14,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,low,h2a_000029,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,,No_Match,WAUSHARA COUNTY,,,,,,8.0,,unresolved_h2a_location
Mortenson Bros,"case employer LFI, LLC; POC Ethan Olson",worksite,"W2499 Deerborn Drive, Neshkoro, WI, 54960",43.959544430754,-89.284210308035,MN,WI,12,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,high,h2a_000030,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Exact),Match,MARQUETTE COUNTY,,,,,,8.0,,no_laundromat_within_radius
Mortenson Bros,"case employer LFI, LLC; POC Ethan Olson",worksite,"W13427 Hwy 73, Plainfield, WI, 54966",44.213863106655,-89.54933962571,MN,WI,12,H-2A Wages | H-2A workers will be paid at the rate of $12.00 per hour. | Domestic Wages | Domestic workers will be paid at the rate of $13.29 per hour.,01-Sep-2026 to 21-Oct-2026,,,,,,,,,high,h2a_000031,JO-A-300-26177-056304,https://api.seasonaljobs.dol.gov/datahub-search/sjCaseData/zip/jo/2026-06-29#caseNumber=JO-A-300-26177-056304,False,,US Census batch geocoder (Exact),Match,WAUSHARA COUNTY,,,,,,8.0,,no_laundromat_within_radius
